#width: 32
p d birth death 
2 0 9.42605 8.60728
2 0 9.10575 8.60655
2 0 10.6049 8.60328
2 0 10.0203 8.60133
2 0 9.40737 8.59241
2 0 8.60798 8.57902
2 0 9.10877 8.57544
2 0 8.86038 8.56071
2 0 10.6617 8.53463
2 0 9.52886 8.53174
2 0 8.63367 8.52216
2 0 9.08647 8.52077
2 0 10.3508 8.52028
2 0 9.33004 8.51514
2 0 8.92159 8.5145
2 0 12.6335 8.51273
2 0 9.94444 8.49926
2 0 9.80723 8.49063
2 0 8.72893 8.48643
2 0 8.51126 8.48377
2 0 12.3198 8.47329
2 0 8.93058 8.47261
2 0 10.2116 8.46438
2 0 11.1799 8.46107
2 0 11.2782 8.45996
2 0 8.62302 8.45769
2 0 8.4843 8.45701
2 0 11.8146 8.45436
2 0 10.5373 8.45373
2 0 9.09765 8.44497
2 0 8.63556 8.44441
2 0 14.2863 8.43875
2 0 10.7475 8.4387
2 0 9.02439 8.43565
2 0 8.58147 8.4333
2 0 10.2463 8.42506
2 0 8.92079 8.41486
2 0 14.779 8.41176
2 0 9.12372 8.4091
2 0 9.768 8.40463
2 0 8.94766 8.40092
2 0 8.87233 8.4006
2 0 9.02291 8.39738
2 0 8.86848 8.39705
2 0 8.41805 8.38553
2 0 10.3524 8.38432
2 0 12.4643 8.37614
2 0 10.0396 8.37316
2 0 8.38916 8.37151
2 0 8.56643 8.3636
2 0 10.2446 8.36286
2 0 8.55168 8.35396
2 0 9.25088 8.35394
2 0 9.77098 8.35166
2 0 8.35775 8.35086
2 0 9.13305 8.34865
2 0 9.96843 8.34775
2 0 9.29359 8.34758
2 0 8.74138 8.34454
2 0 9.28829 8.34416
2 0 9.15429 8.34173
2 0 10.3637 8.3319
2 0 9.6533 8.32656
2 0 10.2719 8.32411
2 0 8.47956 8.311
2 0 8.80175 8.30592
2 0 9.04202 8.30007
2 0 11.0354 8.29693
2 0 9.01893 8.29693
2 0 11.5558 8.29274
2 0 9.32035 8.2916
2 0 9.81103 8.28837
2 0 8.56798 8.28789
2 0 8.45441 8.28237
2 0 8.32941 8.28079
2 0 8.89552 8.27806
2 0 9.57574 8.27584
2 0 8.32704 8.27348
2 0 8.40981 8.2657
2 0 8.79514 8.26325
2 0 9.90062 8.25355
2 0 9.23725 8.25019
2 0 8.47705 8.24428
2 0 8.38594 8.24187
2 0 9.83489 8.23618
2 0 8.92694 8.23384
2 0 9.04475 8.23087
2 0 10.6234 8.22945
2 0 8.71428 8.22628
2 0 10.2912 8.22628
2 0 9.03692 8.21288
2 0 10.0097 8.21123
2 0 8.59219 8.20641
2 0 11.3315 8.19719
2 0 8.26056 8.19231
2 0 9.84316 8.18876
2 0 8.68709 8.18553
2 0 8.76665 8.18485
2 0 9.05707 8.18386
2 0 8.22144 8.17345
2 0 14.5557 8.16507
2 0 8.17701 8.16488
2 0 9.5576 8.15257
2 0 8.19648 8.15028
2 0 10.5939 8.14881
2 0 9.92811 8.14557
2 0 8.3799 8.14147
2 0 12.263 8.14085
2 0 8.1739 8.13766
2 0 8.95982 8.13451
2 0 8.8247 8.1296
2 0 8.42887 8.12338
2 0 8.5431 8.11977
2 0 10.1458 8.11949
2 0 8.16212 8.11825
2 0 8.48114 8.11737
2 0 8.22666 8.11713
2 0 9.72419 8.11687
2 0 9.18451 8.11407
2 0 9.88473 8.10798
2 0 9.91508 8.10697
2 0 9.52361 8.10646
2 0 8.91423 8.10609
2 0 8.30206 8.10378
2 0 9.08875 8.10296
2 0 8.61674 8.10277
2 0 9.25227 8.10168
2 0 8.09034 8.09024
2 0 8.65077 8.0852
2 0 8.08581 8.08128
2 0 9.15511 8.08017
2 0 12.7195 8.07815
2 0 8.08954 8.07779
2 0 8.08259 8.07449
2 0 14.2853 8.07391
2 0 8.07502 8.07308
2 0 8.38461 8.07204
2 0 8.26027 8.06966
2 0 9.39333 8.06858
2 0 8.87611 8.06799
2 0 9.60236 8.06428
2 0 8.22321 8.0622
2 0 8.95079 8.0583
2 0 8.06826 8.05813
2 0 8.48236 8.05813
2 0 10.1758 8.05604
2 0 8.44779 8.0507
2 0 8.81491 8.04976
2 0 9.52013 8.04626
2 0 8.61778 8.0421
2 0 8.15129 8.04084
2 0 9.05046 8.04004
2 0 10.6582 8.03778
2 0 8.35684 8.03655
2 0 10.3315 8.0321
2 0 8.48747 8.03159
2 0 8.11143 8.02989
2 0 10.5647 8.02839
2 0 8.19729 8.0204
2 0 8.48537 8.01783
2 0 8.09068 8.0177
2 0 8.19847 8.01661
2 0 8.20553 8.0154
2 0 8.53119 8.00886
